Fecha;Día;Tipo_dia;Transporte; Distancia_km ; Tiempo_mins ; Velocidad_kmh ;;;;;;
02/07/2025; Miercoles ; Habil ; Auto ; 13,00 ; 48,00 ; 16,25 ;;;;;;
01/07/2025; Martes ; Habil ; Auto ; 15,00 ; 41,00 ; 21,95 ;;;;;;
13/08/2025; Miercoles ; Habil ; Subte ; 18,00 ; 50,00 ; 21,60 ;;;;;;
06/08/2025; Miercoles ; Habil ; Subte ; 14,00 ; 41,00 ; 20,49 ;;;;;;
30/07/2025; Miercoles ; Habil ; Subte ; 14,00 ; 44,00 ; 19,09 ;;;;;;
16/07/2025; Miercoles ; Habil ; Subte ; 13,00 ; 41,00 ; 19,02 ;;;;;;
02/07/2025; Miercoles ; Habil ; Subte ; 8,00 ; 20,00 ; 24,00 ;;;;;;
16/08/2025; Sabado ; Finde ; Colectivo ; 4,00 ; 19,00 ; 12,63 ;;;;;;
08/08/2025; Viernes ; Habil ; Colectivo ; 5,00 ; 25,00 ; 12,00 ;;;;;;
09/07/2025; Miercoles ; Feriado ; Colectivo ; 6,00 ; 23,00 ; 15,65 ;;;;;;
08/07/2025; Martes ; Habil ; Colectivo ; 5,00 ; 11,00 ; 27,27 ;;;;;;
